name,id,recclass,mass (g),year,reclat,reclong,GeoLocation
Aachen,1,L5,21,1880,50.775,6.08333,"(50.775, 6.08333)"
Aarhus,2,H6,720,1951,56.18333,10.23333,"(56.18333, 10.23333)"
Abee,6,EH4,107000,1952,54.21667,-113,"(54.21667, -113.0)"
Acapulco,10,Acapulcoite,1914,1976,16.88333,-99.9,"(16.88333, -99.9)"
Achiras,370,L6,780,1902,-33.16667,-64.95,"(-33.16667, -64.95)"
Adhi Kot,379,EH4,4239,1919,32.1,71.8,"(32.1, 71.8)"
Adzhi-Bogdo (stone),390,LL3-6,910,1949,44.83333,95.16667,"(44.83333, 95.16667)"
Agen,392,H5,30000,1814,44.21667,0.61667,"(44.21667, 0.61667)"
Aguada,398,L6,1620,1930,-31.6,-65.23333,"(-31.6, -65.23333)"
Aguila Blanca,417,L,1440,1920,-30.86667,-64.55,"(-30.86667, -64.55)"
Aioun el Atrouss,423,Diogenite-pm,1000,1974,16.39806,-9.57028,"(16.39806, -9.57028)"
Aïr,424,L6,24000,1925,19.08333,8.38333,"(19.08333, 8.38333)"
Aire-sur-la-Lys,425,Unknown,,1769,50.66667,2.33333,"(50.66667, 2.33333)"
Akaba,426,L6,779,1949,29.51667,35.05,"(29.51667, 35.05)"
Akbarpur,427,H4,1800,1838,29.71667,77.95,"(29.71667, 77.95)"
Akwanga,432,H,3000,1959,8.91667,8.43333,"(8.91667, 8.43333)"
Akyumak,433,"Iron, IVA",50000,1981,39.91667,42.81667,"(39.91667, 42.81667)"
Al Rais,446,CR2-an,160,1957,24.41667,39.51667,"(24.41667, 39.51667)"
Al Zarnkh,447,LL5,700,2001,13.66033,28.96,"(13.66033, 28.96)"
Alais,448,CI1,6000,1806,44.11667,4.08333,"(44.11667, 4.08333)"
Albareto,453,L/LL4,2000,1766,44.65,11.01667,"(44.65, 11.01667)"
Alberta,454,L,625,1949,2,22.66667,"(2.0, 22.66667)"
Alby sur Chéran,458,Eucrite-mmict,252,2002,45.82133,6.01533,"(45.82133, 6.01533)"
Aldsworth,461,LL5,700,1835,51.78333,-1.78333,"(51.78333, -1.78333)"
