id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,star_name,constellation
676,677.0,358.0,15.0,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12.0,2.07,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-2e-08,1.958e-05,-2.65e-05,0.0365971627080155,0.5077238184659449,6.577952018e-07,-7.90003892e-07,Alp,21.0,And,1,676,,114.49855346901884,Alp,2.083,2.063,Alpheratz,Andromeda; Pegasus
744,746.0,432.0,21.0,Gl 8,11Bet Cas,Caph,0.152887,59.14978,16.7842,523.39,-180.42,11.3,2.28,1.155,F2III-IV,0.38,8.600014,0.344589,14.409503,1.681e-05,4.329e-05,2.39e-06,0.0400258528303232,1.0323584043676326,2.5374663227e-06,-8.74700842e-07,Bet,11.0,Cas,1,744,,30.06076302628229,Bet,2.303,2.263,Caph,Cassiopeia
763,765.0,496.0,25.0,Gl 9.1,Eps Phe,,0.156836,-45.747426,44.2087,122.15,-180.13,-9.2,3.88,0.652,K0III,1.013,30.82377,1.266396,-31.665333,-3.526e-05,2.475e-05,-2.02e-05,0.0410596787492194,-0.7984432093302175,5.921999108e-07,-8.73294882e-07,Eps,,Phe,1,763,,47.7749234659094,,,,,Phoenix
1065,1067.0,886.0,39.0,,88Gam Peg,Algenib,0.220598,15.183596,120.048,4.7,-8.24,4.0,2.83,-2.567,B2IV,-0.19,115.664183,6.687324,31.442127,5.04e-06,3.03e-06,-3.56e-06,0.0577524133796261,0.2650037404493388,2.2786243e-08,-3.9948647e-08,Gam,88.0,Peg,1,1065,,926.4031007363994,Gam,2.846,2.816,Algenib,Pegasus
1559,1562.0,1522.0,74.0,,8Iot Cet,,0.323799,-8.823921,84.1751,-14.37,-37.84,19.0,3.56,-1.066,K2III,1.214,82.880324,7.042663,-12.912353,1.727e-05,-4.42e-06,-1.824e-05,0.0847702514073984,-0.15400648121809,-6.96677259e-08,-1.83453496e-07,Iot,8.0,Cet,1,1559,,232.4877101501645,,,,,Whale
1595,1599.0,1581.0,77.0,Gl 17,Zet Tuc,,0.334142,-64.874791,8.5866,1707.56,1165.36,9.0,4.23,4.561,F9V,0.576,3.631914,0.318885,-7.774227,4.144e-05,7.498e-05,1.226e-05,0.0874781017392323,-1.1322786980338138,8.2784844837e-06,5.649824707e-06,Zet,,Tuc,1,1595,,1.3049684141302225,,,,,Toucan
1641,1645.0,1635.0,80.0,,41    Psc,,0.343295,8.190271,125.0,-4.5,9.59,16.0,5.38,-0.105,K3III,1.343,123.225843,11.104763,17.807629,1.555e-05,-1.34e-06,8.08e-06,0.0898743921046132,0.1429472008192712,-2.18166156e-08,4.6493631e-08,,41.0,Psc,1,1641,,95.94006315159336,,,,,Fishes
2016,2021.0,2151.0,98.0,Gl 19,Bet Hyi,,0.427916,-77.254247,7.4588,2220.12,324.37,22.9,2.82,3.457,G2IV,0.618,1.635267,0.184517,-7.275205,7.54e-06,8.163e-05,-2.026e-05,0.1120281101479915,-1.3483409638363189,1.07634454847e-05,1.572590135e-06,Bet,,Hyi,1,2016,,3.607447338641916,,,,,Lesser Water Snake
2069,2072.0,2262.0,100.0,Gl 20,Kap Phe,,0.436716,-43.679829,23.8095,106.14,32.83,11.3,3.93,2.046,A7V,0.175,17.106924,1.964466,-16.443574,9.51e-06,1.342e-05,-5.24e-06,0.1143320175858547,-0.7623568403121038,5.145812405e-07,1.59164331e-07,Kap,,Phe,1,2069,,13.231223331133709,,,,,Phoenix
2076,2081.0,2261.0,99.0,,Alp Phe,Ankaa,0.438056,-42.305981,25.974,232.76,-353.64,75.0,2.4,0.327,K0III...,1.083,19.083654,2.198282,-17.483284,2.323e-05,3.218e-05,-8.456e-05,0.114682902957825,-0.7383786688321162,1.1284523229e-06,-1.714495099e-06,Alp,,Phe,1,2076,,64.44659847416881,,,,Ankaa,Phoenix
2478,2484.0,2884.0,126.0,,Bet1Tuc,,0.525725,-62.958218,41.4079,82.48,-54.37,14.0,4.36,1.275,B9V,-0.064,18.64771,2.582977,-36.881102,-5.45e-06,1.596e-05,-1.771e-05,0.1376343999003325,-1.0988281874404826,3.998743237e-07,-2.63593198e-07,Bet-1,,Tuc,1,2478,,26.915348039269155,,,,,Toucan
3086,3092.0,3627.0,165.0,,31Del And,,0.655462,30.861024,32.352,115.38,-83.05,-7.0,3.27,0.72,K3III...,1.268,27.363473,4.742224,16.595166,-2.56e-06,1.792e-05,-1.485e-05,0.1715996555577154,0.5386264769195913,5.593780246e-07,-4.02637761e-07,Del,31.0,And,1,3086,,44.87453899331323,,,,,Andromeda
3172,3179.0,3712.0,168.0,,18Alp Cas,Schedar,0.675116,56.537331,69.979,50.36,-32.17,-4.0,2.24,-1.985,K0II-IIIvar,1.17,37.984817,6.784483,58.379619,3.74e-06,1.802e-05,-9.43e-06,0.1767448813314833,0.9867625763100912,2.441521695e-07,-1.55964561e-07,Alp,18.0,Cas,1,3172,,542.0008904016238,Alp,2.25,2.23,Schedar,Cassiopeia
3413,3419.0,4128.0,188.0,Gl 31,16Bet Cet,Diphda,0.72649,-17.986605,29.5334,232.79,32.71,13.3,2.04,-0.312,K0III,1.019,27.583638,5.310463,-9.119792,7.82e-06,3.545e-05,2.5e-07,0.1901946422304609,-0.3139254704026524,1.128597767e-06,1.58582554e-07,Bet,16.0,Cet,1,3413,,116.0913870126182,,,,Diphda,Whale
3752,3760.0,4627.0,221.0,,62    Psc,,0.804836,7.299928,177.6199,111.61,3.41,-0.7,5.92,-0.327,G8III,1.104,172.283739,36.848083,22.568981,-2.116e-05,9.375e-05,2.82e-06,0.2107055676298026,0.1274077786562775,5.411005489e-07,1.6532146e-08,,62.0,Psc,1,3752,,117.70637907805684,,,,,Fishes
3871,3881.0,4727.0,226.0,,35Nu  And,,0.830234,41.078911,189.3939,22.68,-18.05,-24.0,4.53,-1.857,B5V SB,-0.136,139.406857,30.787155,124.45018,-1.192e-05,1.869e-05,-2.862e-05,0.217354793112749,0.7169622462973962,1.099557428e-07,-8.7508869e-08,Nu,35.0,And,1,3871,,481.7259035591634,,,,,Andromeda
